"1" "Koliko študentov se pište Novak?" "SELECT COUNT(*) FROM student where priimek = 'Novak';" "aggregate"
"2" "Koliko organizatorjev ima naslov na hišni številki '24'?" "SELECT COUNT(*) FROM organizator JOIN naslov ON organizator.TK_naslov = naslov.id WHERE naslov.hisnaStevilka = '24';" "aggregate"
"3" "Kolikšna je povprečna cena tečaja?" "SELECT AVG(cena) FROM tecaj;" "aggregate"
"4" "Koliko stane najcenejši tečaj?" "SELECT MIN(cena) FROM tecaj;" "aggregate"
"5" "Koliko stane najdražji tečaj?" "SELECT MAX(cena) FROM tecaj;" "aggregate"
"6" "Prikaži ime in priimek vseh študentev." "SELECT ime, priimek FROM student;" "select"
"7" "Prikaži ime, ulico in hišno številko vseh organizatorjev." "SELECT organizator.ime, organizator.priimek, naslov.hisnaStevilka FROM organizator JOIN naslov ON organizator.TK_naslov = naslov.id;" "select"
"8" "Prikaži vse tečaje in njihovo ceno." "SELECT ime, cena FROM tecaj;" "select"
"9" "Prikaži vse države, njihove pošte ter poštne kode." "SELECT drzava.ime, posta.ime, posta.postnaStevilka FROM drzava JOIN posta ON drzava.id = posta.TK_drzava;" "select"
"10" "Prikaži ime in priimek študentov, ki obiskujejo tečaj.'Podatkovne baze'." "SELECT ime, priimek from student JOIN tecajStudent ON student.id = tecajStudent.TK_student JOIN tecaj ON tecaj.id = tecajstudent.TK_tecaj WHERE tecaj.ime = 'Podatkovne baze';" "select"
"11" "Prikaži ime ceno tečaja in število tečajev z enako ceno." "SELECT cena, COUNT(*) from tecaj GROUP BY cena;" "groupBy"
"12" "Prikaži ime tečaja in število obiskovalcev tečaja." "SELECT ime, COUNT (tecajstudent.TK_student) FROM tecaj JOIN tecajStudent ON tecajStudent.TK_tecaj = tecaj.id GROUP BY tecaj.ime;" "groupBy"
"13" "Prikaži države in število pošt." "SELECT ime, COUNT (*) FROM drzava JOIN posta ON drzava.id = posta.TK_drzava GROUP BY drzava.ime;" "groupBy"
"14" "Prikaži ime tečaja in njegovo ceno. Začni z najcenejšim." "SELECT ime, cena FROM tecaj ORDER BY cena;" "orderBy"
"15" "Prikaži ime tečaja in njegovo ceno. Začni z najdražjim." "SELECT ime, cena FROM tecaj ORDER BY cena DESC;" "orderBy"
"16" "Prikaži države in število pošt. Začni z najmanjšim." "SELECT drzava.ime, COUNT (*) FROM drzava JOIN posta ON drzava.id = posta.TL_drzava GROUP BY drzava.ima ORDER BY COUNT(*);" "orderBy"
"17" "Prikaži države in število pošt. Začni z največjim." "SELECT drzava.ime, COUNT (*) FROM drzava JOIN posta ON drzava.id = posta.TK_drzava GROUP BY drzava.ime ORDER BY COUNT(*) DESC;" "orderBy"
"18" "Prikaži ulico in hišno številko. Začni z najmanjšo hišno številko." "SELECT ulica, hisnaStevilka FROM naslov ORDER BY hisnaStevilka;" "orderBy"
"19" "Prikaži ulico in hišno številko. Začni z največjo hišno številko." "SELECT ulica, hisnaStevilka FROM naslov ORDER BY hisnaStevilka DESC;" "orderBy"
"20" "Prikaži ime in ceno vseh tečajev, ki so cenejši ali enaki 250e." "SELECT ime, cena FROM tecaj GROUP BY id HAVING cena <= 250;" "having"
"21" "Prikaži ime in priimek študentov, ki obiskujejo več kot 1 tečaj. Prikaži tudi koliko tečajev obiskujejo." "SELECT ime, priimek, COUNT(*) FROM student JOIN tecajStudent ON student.id = tecajStudent.TK_student GROUP BY student.id HAVING COUNT (*) >= 2;" "having"
